PlantID_final,Easting,Northing,is_mother
L1117,-1508.33570799098,194.389338930137,False
L1124,-1509.63432452799,195.48535402026,False
L1208,-1647.70814044599,197.22166632954,False
L1216,-1651.13337251602,-47.8850221699104,False
L1221,-1611.716117615,-54.0269701704383,False
L1223,-1590.40772771701,-58.5709128296003,False
L1228,-1718.44800367701,-108.801744390279,False
L1244,-214.304679985973,-519.198977150023,False
L1262,-367.43141244899,-604.984700949863,False
L1264,-155.772648920014,-487.01099568978,True
L1298,-1940.74795591098,-145.758867530152,False
L1310,-2028.77721026802,-190.137522149831,False
L1312,-2241.21882943698,-340.217878250405,False
L1313,200.088007385028,-396.059248199686,False
