iter	hours	assortment	log_posterior	log_prior	loglik	missing	mixture	null_assortment	scale	shape
1720	1.412	0.588	-3689.676	-12.546	-3677.13	0.22	0.888	0.428	39.86	0.749
1730	1.42	0.588	-3689.676	-12.546	-3677.13	0.22	0.888	0.428	39.86	0.749
1740	1.429	0.598	-3690.287	-11.937	-3678.351	0.22	0.89	0.428	44.026	0.779
1750	1.437	0.601	-3690.724	-12.639	-3678.086	0.22	0.933	0.426	41.928	0.714
1760	1.445	0.599	-3690.581	-11.703	-3678.878	0.22	0.907	0.428	46.067	0.788
1770	1.453	0.582	-3691.174	-11.636	-3679.538	0.22	0.912	0.429	43.975	0.831
1780	1.461	0.603	-3690.614	-12.034	-3678.58	0.22	0.924	0.428	43.93	0.77
1790	1.469	0.607	-3690.748	-11.759	-3678.988	0.22	0.899	0.428	44.71	0.798
1800	1.477	0.596	-3689.413	-12.596	-3676.816	0.22	0.898	0.429	39.172	0.754
1810	1.485	0.598	-3690.072	-12.284	-3677.788	0.22	0.913	0.429	40.933	0.775
1820	1.492	0.59	-3690.269	-12.057	-3678.212	0.22	0.922	0.428	42.765	0.783
1830	1.499	0.589	-3690.748	-13.149	-3677.599	0.22	0.948	0.426	39.037	0.69
1840	1.507	0.605	-3689.974	-12.466	-3677.508	0.22	0.898	0.428	41.299	0.741
1850	1.514	0.587	-3689.333	-12.811	-3676.522	0.22	0.926	0.428	38.811	0.733
1860	1.522	0.572	-3689.864	-12.922	-3676.942	0.22	0.938	0.428	38.894	0.719
1870	1.529	0.612	-3690.017	-12.856	-3677.161	0.22	0.923	0.428	39.095	0.723
1880	1.537	0.585	-3690.092	-13.511	-3676.581	0.22	0.938	0.427	36.824	0.674
1890	1.544	0.577	-3689.217	-12.961	-3676.257	0.22	0.922	0.428	37.886	0.726
1900	1.551	0.606	-3689.933	-13.792	-3676.141	0.22	0.897	0.427	34.916	0.663
1910	1.558	0.593	-3689.118	-13.139	-3675.978	0.22	0.908	0.43	35.453	0.738
1920	1.565	0.583	-3688.969	-13.287	-3675.682	0.22	0.898	0.428	36.308	0.704
1930	1.572	0.59	-3690.891	-12.469	-3678.422	0.22	0.945	0.428	41.347	0.748
1940	1.58	0.606	-3690.665	-12.144	-3678.521	0.22	0.921	0.429	41.954	0.782
1950	1.588	0.621	-3691.486	-12.131	-3679.354	0.22	0.919	0.429	41.579	0.79
1960	1.596	0.592	-3689.538	-12.525	-3677.013	0.22	0.885	0.428	40.026	0.75
1970	1.603	0.592	-3689.538	-12.525	-3677.013	0.22	0.885	0.428	40.026	0.75
1980	1.61	0.598	-3690.614	-12.357	-3678.257	0.22	0.936	0.428	42.03	0.752
1990	1.617	0.605	-3690.356	-12.033	-3678.323	0.22	0.892	0.428	42.671	0.784
2000	1.625	0.592	-3689.95	-12.253	-3677.697	0.22	0.91	0.429	40.844	0.78
2010	1.632	0.596	-3690.007	-12.46	-3677.547	0.22	0.906	0.427	42.171	0.731
2020	1.639	0.602	-3689.405	-13.599	-3675.806	0.22	0.932	0.429	33.932	0.706
2030	1.647	0.599	-3688.879	-13.267	-3675.612	0.22	0.902	0.429	35.692	0.716
2040	1.654	0.585	-3688.948	-13.903	-3675.045	0.22	0.894	0.428	33.477	0.67
2050	1.663	0.585	-3688.948	-13.903	-3675.045	0.22	0.894	0.428	33.477	0.67
2060	1.672	0.594	-3688.251	-15.118	-3673.133	0.22	0.934	0.43	27.421	0.637
2070	1.679	0.577	-3689.435	-14.059	-3675.376	0.22	0.903	0.427	33.657	0.65
2080	1.688	0.577	-3689.435	-14.059	-3675.376	0.22	0.903	0.427	33.657	0.65
2090	1.695	0.577	-3689.435	-14.059	-3675.376	0.22	0.903	0.427	33.657	0.65
2100	1.702	0.59	-3688.972	-13.518	-3675.454	0.22	0.891	0.43	33.683	0.715
2110	1.71	0.581	-3689.631	-14.043	-3675.588	0.22	0.879	0.428	33.059	0.659
2120	1.718	0.581	-3689.631	-14.043	-3675.588	0.22	0.879	0.428	33.059	0.659
2130	1.726	0.594	-3689.34	-12.993	-3676.347	0.22	0.875	0.429	36.505	0.738
2140	1.734	0.598	-3689.42	-13.101	-3676.319	0.22	0.879	0.428	36.997	0.716
2150	1.741	0.598	-3689.42	-13.101	-3676.319	0.22	0.879	0.428	36.997	0.716
2160	1.749	0.605	-3690.494	-12.325	-3678.169	0.22	0.87	0.429	40.209	0.775
2170	1.759	0.609	-3690.5	-12.575	-3677.925	0.22	0.933	0.428	40.626	0.741
2180	1.767	0.592	-3689.286	-13.103	-3676.183	0.22	0.919	0.427	38.164	0.703
2190	1.776	0.613	-3690.308	-12.668	-3677.64	0.22	0.913	0.427	40.682	0.724
2200	1.785	0.626	-3691.705	-13.07	-3678.635	0.22	0.946	0.427	38.908	0.702
2210	1.794	0.581	-3689.948	-12.814	-3677.134	0.22	0.935	0.429	37.863	0.749
2220	1.803	0.587	-3688.729	-13.717	-3675.012	0.22	0.905	0.428	34.093	0.684
2230	1.811	0.585	-3688.967	-13.951	-3675.017	0.22	0.889	0.428	33.066	0.671
2240	1.819	0.6	-3688.746	-13.531	-3675.215	0.22	0.897	0.429	34.316	0.704
2250	1.827	0.6	-3688.746	-13.531	-3675.215	0.22	0.897	0.429	34.316	0.704
2260	1.835	0.6	-3688.746	-13.531	-3675.215	0.22	0.897	0.429	34.316	0.704
2270	1.843	0.6	-3688.746	-13.531	-3675.215	0.22	0.897	0.429	34.316	0.704
