iter	hours	assortment	log_posterior	log_prior	loglik	missing	mixture	null_assortment	scale	shape
2690	2.191	0.536	-3623.757	-32.591	-3591.166	0.32	0.883	0.434	21.04	0.629
2700	2.199	0.552	-3623.571	-33.25	-3590.321	0.32	0.872	0.432	21.178	0.602
2710	2.206	0.59	-3623.892	-31.507	-3592.386	0.32	0.879	0.432	24.212	0.647
2720	2.213	0.562	-3626.33	-30.553	-3595.777	0.32	0.827	0.434	23.903	0.688
2730	2.22	0.544	-3623.86	-30.361	-3593.499	0.32	0.846	0.432	26.631	0.676
2740	2.228	0.622	-3623.196	-30.294	-3592.902	0.32	0.911	0.436	22.436	0.716
2750	2.235	0.622	-3623.196	-30.294	-3592.902	0.32	0.911	0.436	22.436	0.716
2760	2.242	0.648	-3621.343	-31.689	-3589.654	0.32	0.887	0.436	20.558	0.671
2770	2.249	0.663	-3620.766	-31.72	-3589.045	0.32	0.893	0.435	21.512	0.661
2780	2.256	0.639	-3621.227	-32.597	-3588.63	0.32	0.901	0.437	18.939	0.649
2790	2.264	0.639	-3621.227	-32.597	-3588.63	0.32	0.901	0.437	18.939	0.649
2800	2.271	0.652	-3623.64	-32.351	-3591.289	0.32	0.913	0.437	19.014	0.659
2810	2.279	0.629	-3622.354	-35.225	-3587.129	0.32	0.919	0.439	14.622	0.594
2820	2.286	0.629	-3622.354	-35.225	-3587.129	0.32	0.919	0.439	14.622	0.594
2830	2.294	0.667	-3622.486	-34.139	-3588.347	0.32	0.892	0.437	16.656	0.611
2840	2.301	0.653	-3620.415	-32.414	-3588.002	0.32	0.916	0.435	20.391	0.643
2850	2.309	0.664	-3622.048	-32.093	-3589.955	0.32	0.861	0.436	20.002	0.658
2860	2.316	0.637	-3622.262	-31.983	-3590.279	0.32	0.864	0.437	19.186	0.671
2870	2.324	0.637	-3622.262	-31.983	-3590.279	0.32	0.864	0.437	19.186	0.671
2880	2.331	0.652	-3622.153	-34.728	-3587.425	0.32	0.867	0.438	15.415	0.602
2890	2.338	0.652	-3622.153	-34.728	-3587.425	0.32	0.867	0.438	15.415	0.602
