iter	hours	assortment	log_posterior	log_prior	loglik	missing	mixture	scale	shape
18100	13.521	0.562	-3610.598	-25.085	-3585.512	0.32	1.0	2.504	0.358
18200	13.587	0.563	-3610.556	-25.873	-3584.683	0.32	1.0	2.175	0.348
18300	13.663	0.547	-3611.582	-24.509	-3587.073	0.32	1.0	2.769	0.368
18400	13.74	0.568	-3611.149	-22.794	-3588.355	0.32	1.0	3.787	0.39
18500	13.806	0.575	-3609.984	-24.255	-3585.729	0.32	1.0	2.915	0.367
18600	13.871	0.575	-3609.984	-24.255	-3585.729	0.32	1.0	2.915	0.367
18700	13.936	0.547	-3611.184	-21.801	-3589.384	0.32	1.0	4.543	0.404
18800	14.003	0.551	-3611.745	-23.247	-3588.498	0.32	1.0	3.479	0.385
18900	14.067	0.569	-3609.332	-24.595	-3584.737	0.32	1.0	2.749	0.362
19000	14.134	0.561	-3608.969	-23.235	-3585.734	0.32	1.0	3.518	0.379
19100	14.201	0.561	-3608.969	-23.235	-3585.734	0.32	1.0	3.518	0.379
19200	14.268	0.561	-3608.969	-23.235	-3585.734	0.32	1.0	3.518	0.379
19300	14.332	0.538	-3609.222	-20.851	-3588.371	0.32	1.0	5.445	0.414
19400	14.397	0.529	-3611.106	-21.668	-3589.438	0.32	1.0	4.659	0.406
19500	14.461	0.547	-3608.66	-21.356	-3587.304	0.32	1.0	4.967	0.405
19600	14.524	0.547	-3608.66	-21.356	-3587.304	0.32	1.0	4.967	0.405
19700	14.588	0.547	-3608.66	-21.356	-3587.304	0.32	1.0	4.967	0.405
19800	14.651	0.547	-3608.66	-21.356	-3587.304	0.32	1.0	4.967	0.405
19900	14.715	0.547	-3608.66	-21.356	-3587.304	0.32	1.0	4.967	0.405
20000	14.778	0.547	-3608.66	-21.356	-3587.304	0.32	1.0	4.967	0.405
20100	14.841	0.547	-3608.66	-21.356	-3587.304	0.32	1.0	4.967	0.405
20200	14.908	0.547	-3608.66	-21.356	-3587.304	0.32	1.0	4.967	0.405
20300	14.972	0.544	-3609.402	-21.843	-3587.559	0.32	1.0	4.531	0.4
20400	15.041	0.556	-3607.965	-22.538	-3585.427	0.32	1.0	4.009	0.386
20500	15.105	0.556	-3607.965	-22.538	-3585.427	0.32	1.0	4.009	0.386
