mother,father,distance,prob,offspring
M0258,M0260,0.598,1.0006333122229258,3.0018999366687775
M0258,M0270,1.432,1.0006333122229258,1.0006333122229258
M0258,NA,NA,1.0006333122229258,7.004433185560481
M0259,NA,NA,1.0006333122229258,11.006966434452185
M0267,K0032,3.254,1.0006333122229258,1.0006333122229258
M0267,M0290,17.884,1.0006333122229258,2.0012666244458517
M0267,M1934,7.162,1.0006333122229258,1.0006333122229258
M0267,M1949,6.424,1.0006333122229258,2.0012666244458517
M0267,NA,NA,1.0006333122229258,16.010132995566813
M0283,L0124,2.94,1.0006333122229258,1.0006333122229258
M0283,L1890,1.587,1.0006333122229258,4.002533248891703
M0283,M0053,9.465,1.0006333122229258,3.0018999366687775
M0283,M0089,12.023,1.0006333122229258,1.0006333122229258
M0283,NA,NA,1.0006333122229258,12.00759974667511
M0310,M0344,53.791,1.0006333122229258,1.0006333122229258
M0310,NA,NA,1.0006333122229258,8.005066497783407
M0323,L0137,54.473,1.0006333122229258,1.0006333122229258
M0323,M0002,133.672,1.0006333122229258,7.004433185560481
M0323,M0038,115.97,0.9534110196326788,0.9533508549715008
M0323,M1287,858.761,0.9804388853704877,0.9804369854338189
M0323,NA,NA,1.0006333122229258,6.071278024065865
M0329,L1361,395.325,0,0
M0329,M1781,9.918,1.0006333122229258,9.005699810006334
M0329,NA,NA,1.0006333122229258,9.005699810006334
M0333,M0322,4.955,1.0006333122229258,7.004433185560481
M0333,NA,NA,1.0006333122229258,6.003799873337555
M0344,L0653,244.031,1.0006333122229258,5.00316656111463
M0344,L0662,244.456,1.0006333122229258,1.0006333122229258
M0344,M0319,13.508,1.0006333122229258,2.0012666244458517
M0344,NA,NA,1.0006333122229258,5.00316656111463
M0345,M0554,1176.915,0.3027378087397087,0.30273717542748574
M0345,NA,NA,1.0006333122229258,14.706762507916402
M0484,M0494,136.295,1.0006333122229258,4.002533248891703
M0484,NA,NA,1.0006333122229258,10.00633312222926
M0494,L1847,215.513,1.0006333122229258,2.0012666244458517
M0494,M0109,140.332,1.0006333122229258,5.00316656111463
M0494,M0886,216.345,1.0006333122229258,3.0018999366687775
M0494,NA,NA,1.0006333122229258,5.00316656111463
M0773,M0319,262.306,1.0006333122229258,7.004433185560481
M0773,M0408,215.059,1.0006333122229258,1.0006333122229258
M0773,M0421,15.089,1.0006333122229258,3.0018999366687775
M0773,M0551,1728.326,0,0
M0773,NA,NA,1.0006333122229258,10.00633312222926
M0884,L0935,914.028,0.24079290690310323,0.1123641545281824
M0884,L1223,1931.402,3.1665611146295124e-6,1.5136162127929068e-4
M0884,M0287,25.241,1.0006333122229258,2.0012666244458517
M0884,M0681,52.337,0.3982324255858138,0.397889170360988
M0884,M0819,4.904,1.0006333122229258,1.0006333122229258
M0884,M0993,1121.129,0.3307226092463585,0.4490126662444585
M0884,M1483,6.836,0.5631823939202026,0.5630018999366688
M0884,NA,NA,1.0006333122229258,17.479639645345156
M1000,M0964,0.475,1.0006333122229258,2.0012666244458517
M1000,M0997,4.037,1.0006333122229258,2.0012666244458517
M1000,NA,NA,1.0006333122229258,19.01203293223559
M1335,M0988,39.354,1.0006333122229258,1.0006333122229258
M1335,M0999,1.774,0,0
M1335,M1310,1.911,1.0006333122229258,1.0006333122229258
M1335,NA,NA,1.0006333122229258,20.01266624445852
M1454,NA,NA,1.0006333122229258,11.006966434452185
M1460,M0052,5.998,1.0006333122229258,1.0006333122229258
M1460,M1463,0.698,0,0
M1460,M1478,6.856,0.9914084863837872,0.9913654211526283
M1460,NA,NA,1.0006333122229258,11.01623432552248
M1463,L0114,84.697,1.0006333122229258,1.0006333122229258
M1463,M0084,4.827,1.0006333122229258,2.0012666244458517
M1463,M0090,18.636,1.0006333122229258,1.0006333122229258
M1463,M0100,19.955,1.0006333122229258,1.0006333122229258
M1463,M1047,21.87,1.0006333122229258,1.0006333122229258
M1463,M1455,7.608,1.0006333122229258,1.0006333122229258
M1463,NA,NA,1.0006333122229258,13.008233058898037
M1466,NA,NA,1.0006333122229258,9.005699810006334
M1846,M0590,1273.282,0.07915832805573148,0.07915769474350855
M1846,M0730,658.341,0.022894870170994303,0.022894870170994303
M1846,NA,NA,1.0006333122229258,15.908059531348956
